,period,value
0,2023-12-31T00,26818
1,2023-12-30T23,27539
2,2023-12-30T22,27733
3,2023-12-30T21,28611
4,2023-12-30T20,28522
5,2023-12-30T19,28080
6,2023-12-30T18,27266
7,2023-12-30T17,26241
8,2023-12-30T16,25573
9,2023-12-30T15,24635
10,2023-12-30T14,24245
11,2023-12-30T13,24304
12,2023-12-30T12,24540
13,2023-12-30T11,25470
14,2023-12-30T10,26246
15,2023-12-30T09,27074
16,2023-12-30T08,28362
17,2023-12-30T07,29827
18,2023-12-30T06,30656
19,2023-12-30T05,31124
20,2023-12-30T04,31673
21,2023-12-30T03,31942
22,2023-12-30T02,30355
23,2023-12-30T01,28728
24,2023-12-30T00,28369
25,2023-12-29T23,28342
26,2023-12-29T22,28542
27,2023-12-29T21,28821
28,2023-12-29T20,29511
29,2023-12-29T19,29507
30,2023-12-29T18,29220
31,2023-12-29T17,28585
32,2023-12-29T16,27523
33,2023-12-29T15,25958
34,2023-12-29T14,24879
35,2023-12-29T13,24622
36,2023-12-29T12,24678
37,2023-12-29T11,24998
38,2023-12-29T10,25980
39,2023-12-29T09,27023
40,2023-12-29T08,28623
41,2023-12-29T07,30109
42,2023-12-29T06,30890
43,2023-12-29T05,31626
44,2023-12-29T04,32146
45,2023-12-29T03,32424
46,2023-12-29T02,30761
47,2023-12-29T01,28845
48,2023-12-29T00,28883
49,2023-12-28T23,29040
50,2023-12-28T22,29402
51,2023-12-28T21,29866
52,2023-12-28T20,30504
53,2023-12-28T19,30457
54,2023-12-28T18,30362
55,2023-12-28T17,29256
56,2023-12-28T16,28091
57,2023-12-28T15,26341
58,2023-12-28T14,25008
59,2023-12-28T13,24602
60,2023-12-28T12,24653
61,2023-12-28T11,25233
62,2023-12-28T10,25908
63,2023-12-28T09,27140
64,2023-12-28T08,28696
65,2023-12-28T07,30269
66,2023-12-28T06,31368
67,2023-12-28T05,32192
68,2023-12-28T04,32967
69,2023-12-28T03,33132
70,2023-12-28T02,31634
71,2023-12-28T01,30197
72,2023-12-28T00,30348
73,2023-12-27T23,31004
74,2023-12-27T22,30703
75,2023-12-27T21,30315
76,2023-12-27T20,29863
77,2023-12-27T19,28990
78,2023-12-27T18,29695
79,2023-12-27T17,29386
80,2023-12-27T16,28623
81,2023-12-27T15,26307
82,2023-12-27T14,25344
83,2023-12-27T13,24745
84,2023-12-27T12,25003
85,2023-12-27T11,25211
86,2023-12-27T10,25966
87,2023-12-27T09,27641
88,2023-12-27T08,28702
89,2023-12-27T07,30045
90,2023-12-27T06,30927
91,2023-12-27T05,31826
92,2023-12-27T04,32403
93,2023-12-27T03,32617
94,2023-12-27T02,31039
95,2023-12-27T01,29522
96,2023-12-27T00,29478
97,2023-12-26T23,29108
98,2023-12-26T22,29071
99,2023-12-26T21,29308
100,2023-12-26T20,29805
101,2023-12-26T19,29358
102,2023-12-26T18,28866
103,2023-12-26T17,28097
104,2023-12-26T16,26981
105,2023-12-26T15,25555
106,2023-12-26T14,24485
107,2023-12-26T13,23899
108,2023-12-26T12,24087
109,2023-12-26T11,24448
110,2023-12-26T10,25111
111,2023-12-26T09,25644
112,2023-12-26T08,26956
113,2023-12-26T07,28032
114,2023-12-26T06,28449
115,2023-12-26T05,28842
116,2023-12-26T04,29009
117,2023-12-26T03,29195
118,2023-12-26T02,27598
119,2023-12-26T01,25627
120,2023-12-26T00,25198
121,2023-12-25T23,24714
122,2023-12-25T22,25043
