,period,respondent,respondent-name,fueltype,type-name,value,value-units
0,2023-01-01T00,CAL,California,SUN,Solar,1134,megawatthours
1,2023-01-01T01,CAL,California,SUN,Solar,96,megawatthours
2,2023-01-01T02,CAL,California,SUN,Solar,-25,megawatthours
3,2023-01-01T03,CAL,California,SUN,Solar,-25,megawatthours
4,2023-01-01T04,CAL,California,SUN,Solar,-27,megawatthours
5,2023-01-01T05,CAL,California,SUN,Solar,-34,megawatthours
6,2023-01-01T06,CAL,California,SUN,Solar,-35,megawatthours
7,2023-01-01T07,CAL,California,SUN,Solar,-36,megawatthours
8,2023-01-01T08,CAL,California,SUN,Solar,-36,megawatthours
9,2023-01-01T09,CAL,California,SUN,Solar,-36,megawatthours
10,2023-01-01T10,CAL,California,SUN,Solar,-35,megawatthours
11,2023-01-01T11,CAL,California,SUN,Solar,-35,megawatthours
12,2023-01-01T12,CAL,California,SUN,Solar,-35,megawatthours
13,2023-01-01T13,CAL,California,SUN,Solar,-35,megawatthours
14,2023-01-01T14,CAL,California,SUN,Solar,-34,megawatthours
15,2023-01-01T15,CAL,California,SUN,Solar,-34,megawatthours
16,2023-01-01T16,CAL,California,SUN,Solar,620,megawatthours
17,2023-01-01T17,CAL,California,SUN,Solar,4152,megawatthours
18,2023-01-01T18,CAL,California,SUN,Solar,6486,megawatthours
19,2023-01-01T19,CAL,California,SUN,Solar,7688,megawatthours
20,2023-01-01T20,CAL,California,SUN,Solar,7628,megawatthours
21,2023-01-01T21,CAL,California,SUN,Solar,6925,megawatthours
22,2023-01-01T22,CAL,California,SUN,Solar,6571,megawatthours
23,2023-01-01T23,CAL,California,SUN,Solar,5560,megawatthours
24,2023-01-02T00,CAL,California,SUN,Solar,3752,megawatthours
25,2023-01-02T01,CAL,California,SUN,Solar,578,megawatthours
26,2023-01-02T02,CAL,California,SUN,Solar,-13,megawatthours
27,2023-01-02T03,CAL,California,SUN,Solar,-13,megawatthours
28,2023-01-02T04,CAL,California,SUN,Solar,-14,megawatthours
29,2023-01-02T05,CAL,California,SUN,Solar,-15,megawatthours
30,2023-01-02T06,CAL,California,SUN,Solar,-17,megawatthours
31,2023-01-02T07,CAL,California,SUN,Solar,-18,megawatthours
32,2023-01-02T08,CAL,California,SUN,Solar,-18,megawatthours
33,2023-01-02T09,CAL,California,SUN,Solar,-19,megawatthours
34,2023-01-02T10,CAL,California,SUN,Solar,-19,megawatthours
