,period,respondent,respondent-name,fueltype,type-name,value,value-units
0,2023-01-01T00,CAL,California,WND,Wind,3650,megawatthours
1,2023-01-01T01,CAL,California,WND,Wind,3627,megawatthours
2,2023-01-01T02,CAL,California,WND,Wind,3470,megawatthours
3,2023-01-01T03,CAL,California,WND,Wind,3237,megawatthours
4,2023-01-01T04,CAL,California,WND,Wind,2987,megawatthours
5,2023-01-01T05,CAL,California,WND,Wind,3273,megawatthours
6,2023-01-01T06,CAL,California,WND,Wind,2757,megawatthours
7,2023-01-01T07,CAL,California,WND,Wind,2383,megawatthours
8,2023-01-01T08,CAL,California,WND,Wind,2175,megawatthours
9,2023-01-01T09,CAL,California,WND,Wind,3342,megawatthours
10,2023-01-01T10,CAL,California,WND,Wind,3797,megawatthours
11,2023-01-01T11,CAL,California,WND,Wind,4058,megawatthours
12,2023-01-01T12,CAL,California,WND,Wind,3900,megawatthours
13,2023-01-01T13,CAL,California,WND,Wind,3436,megawatthours
14,2023-01-01T14,CAL,California,WND,Wind,3424,megawatthours
15,2023-01-01T15,CAL,California,WND,Wind,3417,megawatthours
16,2023-01-01T16,CAL,California,WND,Wind,3303,megawatthours
17,2023-01-01T17,CAL,California,WND,Wind,3226,megawatthours
18,2023-01-01T18,CAL,California,WND,Wind,3237,megawatthours
19,2023-01-01T19,CAL,California,WND,Wind,3276,megawatthours
20,2023-01-01T20,CAL,California,WND,Wind,3477,megawatthours
21,2023-01-01T21,CAL,California,WND,Wind,3812,megawatthours
22,2023-01-01T22,CAL,California,WND,Wind,4484,megawatthours
23,2023-01-01T23,CAL,California,WND,Wind,4404,megawatthours
24,2023-01-02T00,CAL,California,WND,Wind,4175,megawatthours
25,2023-01-02T01,CAL,California,WND,Wind,3837,megawatthours
26,2023-01-02T02,CAL,California,WND,Wind,3901,megawatthours
27,2023-01-02T03,CAL,California,WND,Wind,4053,megawatthours
28,2023-01-02T04,CAL,California,WND,Wind,4044,megawatthours
29,2023-01-02T05,CAL,California,WND,Wind,3579,megawatthours
30,2023-01-02T06,CAL,California,WND,Wind,3231,megawatthours
31,2023-01-02T07,CAL,California,WND,Wind,3003,megawatthours
32,2023-01-02T08,CAL,California,WND,Wind,2706,megawatthours
33,2023-01-02T09,CAL,California,WND,Wind,2093,megawatthours
34,2023-01-02T10,CAL,California,WND,Wind,1729,megawatthours
35,2023-01-02T11,CAL,California,WND,Wind,1528,megawatthours
36,2023-01-02T12,CAL,California,WND,Wind,1630,megawatthours
37,2023-01-02T13,CAL,California,WND,Wind,1580,megawatthours
38,2023-01-02T14,CAL,California,WND,Wind,1435,megawatthours
39,2023-01-02T15,CAL,California,WND,Wind,1231,megawatthours
40,2023-01-02T16,CAL,California,WND,Wind,1127,megawatthours
41,2023-01-02T17,CAL,California,WND,Wind,1112,megawatthours
42,2023-01-02T18,CAL,California,WND,Wind,1265,megawatthours
43,2023-01-02T19,CAL,California,WND,Wind,1309,megawatthours
44,2023-01-02T20,CAL,California,WND,Wind,1550,megawatthours
45,2023-01-02T21,CAL,California,WND,Wind,1703,megawatthours
46,2023-01-02T22,CAL,California,WND,Wind,1985,megawatthours
47,2023-01-02T23,CAL,California,WND,Wind,2206,megawatthours
48,2023-01-03T00,CAL,California,WND,Wind,2486,megawatthours
49,2023-01-03T01,CAL,California,WND,Wind,2270,megawatthours
50,2023-01-03T02,CAL,California,WND,Wind,2519,megawatthours
51,2023-01-03T03,CAL,California,WND,Wind,2354,megawatthours
52,2023-01-03T04,CAL,California,WND,Wind,2823,megawatthours
53,2023-01-03T05,CAL,California,WND,Wind,3043,megawatthours
54,2023-01-03T06,CAL,California,WND,Wind,3011,megawatthours
55,2023-01-03T07,CAL,California,WND,Wind,2722,megawatthours
56,2023-01-03T08,CAL,California,WND,Wind,2362,megawatthours
57,2023-01-03T09,CAL,California,WND,Wind,2488,megawatthours
58,2023-01-03T10,CAL,California,WND,Wind,2467,megawatthours
59,2023-01-03T11,CAL,California,WND,Wind,2484,megawatthours
60,2023-01-03T12,CAL,California,WND,Wind,2316,megawatthours
61,2023-01-03T13,CAL,California,WND,Wind,2168,megawatthours
62,2023-01-03T14,CAL,California,WND,Wind,2224,megawatthours
63,2023-01-03T15,CAL,California,WND,Wind,2034,megawatthours
64,2023-01-03T16,CAL,California,WND,Wind,1756,megawatthours
65,2023-01-03T17,CAL,California,WND,Wind,1532,megawatthours
66,2023-01-03T18,CAL,California,WND,Wind,1505,megawatthours
67,2023-01-03T19,CAL,California,WND,Wind,1394,megawatthours
68,2023-01-03T20,CAL,California,WND,Wind,1093,megawatthours
69,2023-01-03T21,CAL,California,WND,Wind,1101,megawatthours
70,2023-01-03T22,CAL,California,WND,Wind,1161,megawatthours
71,2023-01-03T23,CAL,California,WND,Wind,1304,megawatthours
72,2023-01-04T00,CAL,California,WND,Wind,1126,megawatthours
73,2023-01-04T01,CAL,California,WND,Wind,958,megawatthours
74,2023-01-04T02,CAL,California,WND,Wind,820,megawatthours
75,2023-01-04T03,CAL,California,WND,Wind,845,megawatthours
76,2023-01-04T04,CAL,California,WND,Wind,809,megawatthours
77,2023-01-04T05,CAL,California,WND,Wind,842,megawatthours
78,2023-01-04T06,CAL,California,WND,Wind,1058,megawatthours
79,2023-01-04T07,CAL,California,WND,Wind,1012,megawatthours
