,period,value,day
0,2023-01-04 03:00:00,34875,4
1,2023-01-12 03:00:00,34838,12
2,2023-01-20 04:00:00,35042,20
3,2023-01-24 04:00:00,34146,24
4,2023-01-31 04:00:00,34820,31
5,2023-02-07 04:00:00,33057,38
6,2023-02-15 04:00:00,34138,46
7,2023-02-24 04:00:00,34960,55
8,2023-02-28 04:00:00,35301,59
9,2023-03-10 04:00:00,33973,69
10,2023-03-14 04:00:00,32469,73
11,2023-03-22 04:00:00,33431,81
12,2023-03-30 04:00:00,33585,89
13,2023-04-04 05:00:00,32819,94
14,2023-04-11 04:00:00,32229,101
15,2023-04-22 04:00:00,32230,112
16,2023-04-28 04:00:00,35395,118
17,2023-05-04 05:00:00,31622,124
18,2023-05-14 04:00:00,34302,134
19,2023-05-17 04:00:00,37313,137
20,2023-05-23 04:00:00,37217,143
21,2023-06-04 04:00:00,33683,155
22,2023-06-05 04:00:00,34620,156
23,2023-06-17 04:00:00,36552,168
24,2023-06-22 05:00:00,34490,173
25,2023-07-02 03:00:00,44451,183
26,2023-07-03 03:00:00,43461,184
27,2023-07-15 03:00:00,48856,196
28,2023-07-18 02:00:00,52019,199
29,2023-07-26 03:00:00,52872,207
30,2023-08-01 02:00:00,47673,213
31,2023-08-08 02:00:00,50048,220
32,2023-08-17 02:00:00,54130,229
33,2023-08-24 03:00:00,48703,236
34,2023-08-29 02:00:00,52538,241
35,2023-09-09 02:00:00,46913,252
36,2023-09-12 02:00:00,44717,255
37,2023-09-20 03:00:00,37481,263
38,2023-09-27 03:00:00,37986,270
39,2023-10-07 02:00:00,44848,280
40,2023-10-09 02:00:00,39716,282
41,2023-10-20 02:00:00,41671,293
42,2023-10-24 03:00:00,34260,297
43,2023-11-03 03:00:00,34048,307
44,2023-11-07 03:00:00,33901,311
45,2023-11-16 03:00:00,33201,320
46,2023-11-21 03:00:00,33185,325
47,2023-11-30 03:00:00,33954,334
48,2023-12-08 03:00:00,33477,342
49,2023-12-14 03:00:00,34631,348
50,2023-12-21 03:00:00,34603,355
51,2023-12-28 03:00:00,33132,362
