,period,value,day
74,2023-01-04 02:00:00,4320,4
268,2023-01-12 04:00:00,4735,12
460,2023-01-20 04:00:00,4088,20
556,2023-01-24 04:00:00,4254,24
723,2023-01-31 03:00:00,4184,31
891,2023-02-07 03:00:00,3595,38
1084,2023-02-15 04:00:00,3986,46
1299,2023-02-24 03:00:00,5320,55
1395,2023-02-28 03:00:00,4969,59
1635,2023-03-10 03:00:00,5054,69
1732,2023-03-14 04:00:00,4478,73
1923,2023-03-22 03:00:00,5963,81
2126,2023-03-30 14:00:00,6210,89
2235,2023-04-04 03:00:00,5856,94
2404,2023-04-11 04:00:00,6535,101
2668,2023-04-22 04:00:00,6635,112
2811,2023-04-28 03:00:00,6682,118
2956,2023-05-04 04:00:00,6681,124
3195,2023-05-14 03:00:00,8033,134
3267,2023-05-17 03:00:00,7570,137
3412,2023-05-23 04:00:00,7187,143
3701,2023-06-04 05:00:00,8215,155
3723,2023-06-05 03:00:00,8288,156
4287,2023-06-17 04:00:00,7264,168
4527,2023-06-22 04:00:00,6960,173
5005,2023-07-02 03:00:00,7275,183
5053,2023-07-03 03:00:00,7769,184
5631,2023-07-15 04:00:00,7672,196
5775,2023-07-18 04:00:00,7056,199
6157,2023-07-26 03:00:00,7305,207
6355,2023-08-01 04:00:00,7439,213
6522,2023-08-08 03:00:00,6616,220
6739,2023-08-17 04:00:00,7711,229
6906,2023-08-24 03:00:00,7870,236
7026,2023-08-29 03:00:00,7066,241
7290,2023-09-09 03:00:00,7260,252
7362,2023-09-12 03:00:00,6276,255
7554,2023-09-20 03:00:00,7349,263
7722,2023-09-27 03:00:00,7197,270
7962,2023-10-07 03:00:00,6091,280
8010,2023-10-09 03:00:00,5709,282
8273,2023-10-20 02:00:00,5354,293
8370,2023-10-24 03:00:00,4611,297
8610,2023-11-03 03:00:00,4288,307
8706,2023-11-07 03:00:00,4035,311
8923,2023-11-16 04:00:00,4172,320
9043,2023-11-21 04:00:00,4771,325
9261,2023-11-30 06:00:00,3152,334
9452,2023-12-08 05:00:00,2976,342
9594,2023-12-14 03:00:00,4705,348
9762,2023-12-21 03:00:00,4550,355
9931,2023-12-28 04:00:00,4802,362
