,period,value,day
92,2023-01-04 20:00:00,5465,4
284,2023-01-12 20:00:00,9605,12
475,2023-01-20 19:00:00,11359,20
571,2023-01-24 19:00:00,12450,24
741,2023-01-31 21:00:00,11009,31
907,2023-02-07 19:00:00,13064,38
1099,2023-02-15 19:00:00,13690,46
1317,2023-02-24 21:00:00,7342,55
1411,2023-02-28 19:00:00,9836,59
1652,2023-03-10 20:00:00,6958,69
1728,2023-03-14 00:00:00,9834,73
1940,2023-03-22 20:00:00,10771,81
2130,2023-03-30 18:00:00,10453,89
2250,2023-04-04 18:00:00,10385,94
2419,2023-04-11 19:00:00,13742,101
2686,2023-04-22 22:00:00,13610,112
2829,2023-04-28 21:00:00,15082,118
2972,2023-05-04 20:00:00,10945,124
3214,2023-05-14 22:00:00,14459,134
3283,2023-05-17 19:00:00,15045,137
3429,2023-05-23 21:00:00,15369,143
3715,2023-06-04 19:00:00,14817,155
3743,2023-06-05 20:00:00,13893,156
4319,2023-06-17 20:00:00,15060,168
4559,2023-06-22 20:00:00,16109,173
5041,2023-07-02 21:00:00,15148,183
5085,2023-07-03 19:00:00,15892,184
5661,2023-07-15 19:00:00,14806,196
5805,2023-07-18 19:00:00,15227,199
6191,2023-07-26 20:00:00,15411,207
6370,2023-08-01 19:00:00,13301,213
6539,2023-08-08 20:00:00,15904,220
6754,2023-08-17 19:00:00,15420,229
6923,2023-08-24 20:00:00,15539,236
7042,2023-08-29 19:00:00,16168,241
7306,2023-09-09 19:00:00,15384,252
7379,2023-09-12 20:00:00,15693,255
7570,2023-09-20 19:00:00,15696,263
7737,2023-09-27 18:00:00,15102,270
7978,2023-10-07 19:00:00,15157,280
8026,2023-10-09 19:00:00,13387,282
8290,2023-10-20 19:00:00,14389,293
8386,2023-10-24 19:00:00,12770,297
8626,2023-11-03 19:00:00,14518,307
8723,2023-11-07 20:00:00,13041,311
8940,2023-11-16 21:00:00,10034,320
9059,2023-11-21 20:00:00,13882,325
9255,2023-11-30 00:00:00,9620,334
9467,2023-12-08 20:00:00,12578,342
9610,2023-12-14 19:00:00,13099,348
9779,2023-12-21 20:00:00,6800,355
9947,2023-12-28 20:00:00,12866,362
